Company,items,industry,중분류,description,sub_classification
신세계,"백화점,할인점(E마트)",'종합 소매업',IT서비스,"기업개요
동사는 1955년 동화백화점으로 설립되어 1985년 유가증권시장에 상장되어 매매가 개시됨.
사업 영역은 백화점사업, 패션 및 라이프스타일, 화장품 제조 및 도소매사업, 면세점사업, 부동산 및 여객터미널업, 관광호텔업, 가구소매업으로, 영상컨텐츠사업, 벤처캐피탈사업으로 세분화 됨.
신세계센트럴시티, 신세계동대구복합환승센터, 신세계인터내셔날, 까사미아, 서울고속버스터미널 등을 연결대상 종속회사로 보유함.
출처 : 에프앤가이드","플랫폼, 고객지원"
롯데정보통신,"SM, SI","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스,"기업개요
동사와 연결종속회사가 영위하고 있는 사업은 SM(System management) 사업 및 SI(System Integration) 사업으로 구성되어 있음.
동사의 SM사업은 롯데 그룹 내 유통, 식품, 화학, 서비스 등의 다양한 산업군을 아우르고 있으며, IT시스템을 안정적으로 운영 중임.
한편 SI사업의 경우 영업·제안 역량을 집중하여 SOC, 금융, 민간 기업의 SI사업과 ASP사업에도 영역을 확장하고 있음.
출처 : 에프앤가이드","네트워크, 인프라, 금융"
헥토이노베이션,휴대폰부가서비스,'기타 정보 서비스업',IT서비스,"기업개요
동사는 2009년 3월 19일 설립되었으며, 2015년 6월 30일 코스닥 시장에 주식을 상장하였음.
개인정보보안 중심의 2차 본인인증 및 보안서비스와 다양한 생활서비스를 개발 및 운영하는 것을 주된 사업으로 하고 있으며 이동통신사 부가서비스 형태로 주된 매출이 발생함.
퍼블리싱 사업과 1차 본인인증 운영까지 사업영역을 확대하는 것은 물론 강력한 마케팅 역량을 바탕으로 독점적인 IT서비스 비즈니스 플랫폼을 구축하고 있음.
출처 : 에프앤가이드","인증, 플랫폼"
한국전자금융,"ATM관리사업,CD-VAN사업",'기타 사업지원 서비스업',IT서비스,"기업개요
CD VAN 관리, ATM 관리 등 금융기관 자동화기기 종합관리를 위해 2000년 한국신용정보의 금융사업본부가 분사되어 설립.
ATM 관리 사업은 은행이 설치하여 운영하고 있는 무인점포와 점포 외 CD/ATM기기의 종합관리 업무를 일괄적으로 수행하는 금융서비스업임.
금융 자동화기기 관리 외에 주차장의 위탁관리 및 무인운영 서비스를 제공하는 무인주차사업과 무인자동화기기(KIOSK) 사업을 신규 사업으로 영위함.
출처 : 에프앤가이드","금융, 은행"
APS,인터넷 트래픽 솔루션,'기타 금융업',IT서비스,"기업개요
동사는 1994년 9월 반도체장비, LCD장비, 콘트롤기기 및 소프트웨어 제조업을영위할 목적으로 설립되었음.
TFT-LCD는 진입장벽이 매우 높은 산업으로 대규모 연구개발 비용 소요와 장비 대형화에 따른 인프라 구축을 위해 대규모의 자금력이 요구됨.
동사는 디스플레이 및 반도체 장비 제조와 판매를 담당하는 장비사업부문을 신설회사인 사업회사로 이전하였으며, 분할 존속회사로 자회사 지분의 관리 및 투자 부문을 담당하고 있음.
출처 : 에프앤가이드","인프라, 금융, 반도체 장비"
에스트래픽,"교통관련 솔루션 개발, 시스템통합 S/W 개발","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스,"기업개요
동사는 2013년 1월 25일 설립되었으며 교통(도로/철도)관련 SI(System Integration)를 주요사업영역으로 하고 있음.
시스템의 업그레이드 및 유지관리를 주요 영위사업으로 두고 있음.
동사는 유인 요금수납 시스템(TCS), 하이패스시스템(ETCS), 교통카드정산을 위한 솔루션 등을 개발하고 시스템을 설치 구현하여 도로 이용자들에게 스마트한 교통환경을 제공하고 있음.
출처 : 에프앤가이드","프로그램, 인프라"
윈스,"네크워크보안장비(IPS, 안티 DDoS)","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스,"기업개요
동사는 나우콤으로부터 네트워크 보안사업부문의 인적분할을 통하여 2011년 1월 1일 설립되었으며 2011년 5월 2일 한국거래소(KOSDAQ)에 재상장하였음.
동사는 정보보안시장 내 보안 시스템 개발 및 공급을 주로 하는 네트워크보안분야와 정보보안, 클라우드 관련 서비스 분야에서 사업을 영위하고 있음.
동사는 AI보안관제 플랫폼을 통해 관제서비스의 경쟁력을 강화시켜나가고 있음.
출처 : 에프앤가이드","네트워크, 클라우드, 플랫폼"
헥토파이낸셜,"가상계좌중계, 간편현금결제",'기타 정보 서비스업',IT서비스,"기업개요
동사는 ICT기술을 바탕으로 가상계좌 중계서비스로 출발을 하여 펌뱅킹, 간편현금결제, PG서비스 등의 전자금융 및 결제 플랫폼을 제공하는 핀테크 기업임.
동사는 국내에서 유일하게 대형은행의 시스템을 직접 운영하고 있는 핀테크 업체임.
동사는 안정적인 가상계좌 중계서비스 매출을 기반으로 모바일/온라인 중심의 간편결제 시장점유율 확대를 위한 지속적인 노력을 하고 있음.
출처 : 에프앤가이드","플랫폼, 금융, 결제, 은행"
오비고,스마트카 소프트웨어 플랫폼,"'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스,"기업개요
동사는 2003년 3월 설립되었으며, 스마트카 소프트웨어 플랫폼 개발 및 판매 업체임.
소프트웨어 솔루션 및 컨텐츠 서비스 사업의 두개의 축으로 자동차 차량제조사(OEM), 차량공급사(Tier1) 및 통신사를 고객으로 하는 B2B 사업을 영위함.
스마트카 컨텐츠 서비스 사업은 시작단계로 차량용 인포테인먼트 서비스 중심으로 지역별 서비스(음악, 날씨 등)를 오비고 소프트웨어 플랫폼 기반으로 제공하고 있음.
출처 : 에프앤가이드",플랫폼
오파스넷,네트워크 구축 및 유지보수,"'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스,"기업개요
동사는 2004년에 설립되었고, 기업체, 공공기관 및 금융권 네트워크 통합과 다양한 솔루션 공급 등에서 강세를 유지해온 네트워크 통합 전문기업임.
동사는 네트워크 통합 및 시스템 통합을 주요 사업으로 영위하고 있으며, 매출은 용역매출인 네트워크 구축 및 유지보수로 구성되어 있음.
주요 매출처로는 SK그룹 계열사와 삼성전자, 한국거래소, 국민은행, 넥슨, 아모레퍼시픽, 두산 등 국내 주요 대기업을 포함함.
출처 : 에프앤가이드","네트워크, 금융, 은행"
콤텍시스템,"시스템(네트웍) 구축/데이터통신장비(모뎀,먹스),종합네트워크시스템 제조,설치,유지보수","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스,"기업개요
동사는 1983년 8월 18일에 설립되었으며, 1997년 2월 12일 유가증권시장에 주식을 상장함.
사업 부문을 크게 IT 서비스 사업분야에서 네트워크통합 및 유지.보수 사업을 중심으로 구성되어 있으며, 최근에는 클라우드 관련 IT인프라 사업 및 스마트워크플레이스 사업을 추진하고 있음.
연결종속회사는 총 8개사로 상장사 2개사(코스닥 : 쌍용정보통신(주), 코넥스 : (주)시큐센) 와 비상장사 6개사가 포함되어 있음.
출처 : 에프앤가이드","네트워크, 인프라, 클라우드"
에스넷,"네트워크장비 설치 및 납품, 유지보수","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스,"기업개요
1999년 2월에 설립. HW, SW, 솔루션, 컨설팅 등 기업의 디지털 트랜스포메이션에 필요한 모든 제품과 서비스 제공.
주요 서비스는 ICT인프라, 데이터센터, 클라우드의 구축 및 운영서비스로 구분됨.
2021년 올인원 디지털 서비스의 핵심기술거점인 ‘S2F센터’를 구축, 고객 체험 서비스를 통한 IoT, 가상화 기반 무선통신, AI, BigData, 메타버스 등 첨단 기술을 융합한 미래형 ICT서비스 모델 제공.
출처 : 에프앤가이드","네트워크, 인프라, 클라우드, AI"
소프트센,전산기기 및 정보통신공사,'기타 정보 서비스업',IT서비스,"기업개요
동사는 1988년 4월 11일 설립되었으며, 1997년 7월 18일 발행주식이 코스닥 시장에 등록된 주권 상장법인임.
사업부문은 서버/스토리지, 프로세서 등 제반 인프라, 솔루션 및 유지보수서비스를 공급하는 ICT 사업부와 솔루션공급, IT서비스 등을 제공하는 전략사업부문으로 구분됨.
서버 및 네트워크 장비, 각종 S/W를 공급하는 사업으로 이 때 공급하는 장비는 동사가 직접 제조하지 않음.
출처 : 에프앤가이드","네트워크, 인프라, 서버"
인포뱅크,"모바일메시징서비스,휴대폰단말기용S/W개발용역",'기타 정보 서비스업',IT서비스,"기업개요
동사는 유무선 및 방송 통신네트워크 소프트웨어 개발 및 서비스사업을 영위할 목적으로 1995년 6월 14일에 설립되었음.
스마트카 서비스 부문은 커넥티드 카 솔루션 구축 기술을 토대로 자율주행 이동체 관제 플랫폼 사업을 선도하고 있음.
동사의 주요 종속회사는 서비스사업(기업용메시징서비스, 양방향미디어서비스, 스마트카 서비스 등)과 기타사업(S/W 개발 및 솔루션등)을 영위하고 있음.
출처 : 에프앤가이드","네트워크, 플랫폼"
큐로컴,"시스템통합, 지능형교통시스템","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스,"기업개요
1997년 4월에 설립되어 소프트웨어 개발/공급과 통신기기 및 컴퓨터 주변기기 제조 및 판매업을 사업목적으로 하고 있음.
소프트웨어 개발/공급을 하는 솔루션사업과 컴퓨터 주변기기 등 정보통신기기를 판매하는 유통사업을 주요사업으로 영위하고 있음.
동사의 연결 대상 종속회사에 포함된 회사들이 영위하는 사업으로는 신약 및 백신연구개발, 신약 및 백신 개발사업을 영위하고 있음.
출처 : 에프앤가이드","프로그램, 앱, 노트북 및 컴퓨터"
이글루,"통합보안관리솔루션, 보안관제서비스",'기타 정보 서비스업',IT서비스,"기업개요
동사는 1999년 11월 설립되어 2010년 2월 코스닥 시장에 상장하였음. 통합보안관리솔루션(ESM) 및 보안관제서비스(MSS)를 주요 사업으로 영위함.
통합보안관리(SIEM)라는 영역을 개척한 후 국내 시장을 주도해 온 결과 통합보안관리 분야의 대표 기업으로 자리매김함.
AI가 핵심 성장 동력이며, AI보안관리솔루션을 국내 최초로 출시하였음. 보안 오케스트레이션·자동화·대응(SOAR) 기술을 확보하고 있음.
출처 : 에프앤가이드","보안, 고객지원, AI"
에프앤가이드,"금융정보서비스, INDEX, 펀드평가 등",'기타 정보 서비스업',IT서비스,"기업개요
동사는 2000년에 설립되고 2013년에 코넥스 시장 상장을 거쳐, 2020년 코스닥으로 이전상장한 금융 데이터 전문 기업임.
주요 사업은 웹페이지나 CS프로그램 형태로 기업·산업 분석 보고서 및 다양한 금융 데이터를 서비스하는 것이며, 그외 인덱스사업, 펀드평가업 및 금융 정보 시스템을 구축하는 SI가 포함된 기타 사업을 영위하고 있음.
개인투자자 대상의 <크리블> 및 <리타민> 앱 서비스로 B2C로 비즈니스 영역 확장중.
출처 : 에프앤가이드","금융, 앱, 프로그램"
케이엘넷,EC/EDI,'전기 통신업',IT서비스,"기업개요
동사는 1994년 물류비 절감을 통한 국가경쟁력 강화를 목적으로 물류관련 기관과 기업들이 공동 출자하여 설립한 회사임.
물류분야를 중심으로 전자문서중계서비스(EDI)를 기반으로 한 전자물류서비스 외에 시스템통합(SI) 사업, 솔루션 판매, IT아웃소싱 등 물류IT 분야의 토털 서비스를 제공하고 있음.
동사 사업은 해운ㆍ항만ㆍ운송과 관련된 물류분야에 특화된 사업임.
출처 : 에프앤가이드","고객지원, 플랫폼"
한국정보통신,"신용카드부가통신업(VAN),전자지급결제대행업(PG)",'전기 통신업',IT서비스,"기업개요
동사는 1986년 5월 9일에 설립되었으며 1988년 1월 20일 코스닥시장에 상장함.
카드단말기 및 POS시스템이 설치된 가맹점 네트워크와 카드사, 은행, 정유사, 포인트 제공사 등과 연결된 대외 인터페이스, 그리고 이들을 연결하는 VAN시스템을 통해 부가가치를 창출함.
금융VAN산업은 가맹점과 카드사간 결제망시스템을 구축하여 카드사용 승인중계 및 카드전표 매입 업무를 하는 부가통신산업임.
출처 : 에프앤가이드","네트워크, 금융, 결제, 은행"
대신정보통신,"디지털서비스, SI서비스, 산업용 PDA","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스,"기업개요
동사는 시스템 통합 및 구축 서비스업을 영위하고 있고, 사업의 특성상 인력을 투입하여 사업의 개발, 수행하고 있음.
국내 SW시장은 패키지 SW, IT서비스 등 전통 사업의 영역 간 경계가 점차 희석되고 있는 가운데, 인공지능, 스마트카, 빅데이터, 보안(블록체인), 사물인터넷, 클라우드 등이 주된 이슈로 지속되고 있음.
정보통신산업진흥원의 SW수요예보에 따르면 SW사업 추진계획 및 ICT 장비 구매 계획이 매년 증가하고 있음.
출처 : 에프앤가이드",클라우드
링네트,네트워크 구축(Network Integration),"'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스,"기업개요
동사는 컴퓨터 네트워크의 설계, 통신 장비공급, 설치 및 유지보수를 포함하는 NI사업과 화상회의시스템, Storage시스템, 클라우드 가상화 등의 사업을 영위함.
네트워크 시장은 LAN, WAN 그리고 인터넷이 점차 하나의 개념으로 통일되어 가고 있음.
동사는 고객에게 최적의 클라우드 구성(하이브리드 클라우드, 멀티 클라우드 등) 및 제공을 위한 최적의 시스템을 구성하고 있음.
출처 : 에프앤가이드","네트워크, 클라우드"
쌍용정보통신,"클라우드,시스템통합(SI),네트워크 설계 및 구축,시스템운영(SM)","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스,"기업개요
동사의 연결종속회사는 총 3개사로 비상장사 콤텍정보통신, 클로잇, 클로센 이며 클라우드를 기반으로 하는 토탈 IT 구축 서비스와 기타 IT 용역 / 유지보수를 주된 영업으로 함.
클라우드 부문은 클라우드 전환(공공 클라우드 전환 및 구축포함), 클라우드 전환/구축 컨설팅, 클라우드 네이티브 어플리케이션 구축/운영 등을 영위하고 있음.
클라우드 외 부문은 네트워크 진단 / 컨설팅, 네트워크 솔루션 설계 / 공급 등을 영위.
출처 : 에프앤가이드","네트워크, 클라우드"
인포바인,휴대폰인증서보관서비스(UBIKey),'전기 통신업',IT서비스,"기업개요
동사는 2010년 코스닥시장에 상장하며 휴대폰인증서 보관서비스 사업을 영위하고 있음.
휴대폰인증서 보관서비스는 유무선 네트워크 연동기술, 데이터암호화기술 및 모바일 어플리케이션 개발기술을 기반으로 공동인증서를 휴대폰에 보관하고, 어느 PC에서나 자유롭게 사용할 수 있는 서비스임.
2004년부터는 캐주얼장르의 온라인게임인 '제4구역'을 개발 진행하였으며, 현재는 모바일게임으로 상용화하고 있음.
출처 : 에프앤가이드","네트워크, 암호화, 인증"
시티랩스,"용역서비스(ITS,BIS,ATMS,BRT)","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스,"기업개요
동사는 2006년 설립되어 ITS 구축 전문기업으로서 ITS 분야 등 SOC 사업에 대한 입지를 구축하여 왔음.
동사와 그 종속기업의 사업은 ITS 통합솔루션 및 CCTV 관제센터 구축 용역과 서비스부문, 복층유리 생산설비 제조업, 블록체인을 이용한 정보자료처리, 호스팅도메인 서비스 등으로 구성됨.
또한, 2021년 9월 국내 모바일게임 퍼블리싱사업을 위한 사업부를 신설하여 사업을 영위하고 있음.
출처 : 에프앤가이드",호스팅
미래아이앤지,"CCTV, DVR제조, 금융솔루션, 방산제품","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스,"기업개요
동사는 금융솔루션사업 등을 주사업으로 영위하고 있음.
솔루션사업은 2010년 영업양수도를 통하여 금융솔루션사업부문을 추가하여 주된 사업으로 영위하고 있으며, 또한 동사 매출확대를 위해 기존 사업부를 통합하여 B&E사업부를 추가함.
금융솔루션사업은 은행권에 SWIFT 전문 관리 솔루션(eNisis), 컴플라이언스 솔루션(SafeWatch), 외화트레이딩 솔루션(Summit), 기타 SI 사업을 영위하고 있음.
출처 : 에프앤가이드","금융, 은행"
한네트,"현금서비스, 예금인출",'전기 통신업',IT서비스,"기업개요
동사는 1997년 VAN사업을 목적으로 한국컴퓨터에서 독립했으며 주요 사업은 점외 현금자동지급기(CD)사업임.
금융권 사업자가 현금자동지급기 시장을 주도하고 있는 가운데, 동사는 금융권이 진출하지 않은 지하철역, 대형 유통점, 편의점, 휴게소 등의 공공장소를 중심으로 CD를 설치, 꾸준히 성장 중임.
신용카드 활성화와 더불어 주5일 근무제 시행 확대로 현금입출금 수요가 늘면서 CD 시장은 점진적으로 성장할 가능성 있음.
출처 : 에프앤가이드",금융
유엔젤,"소프트웨어(무선인터넷 솔루션,ASP통신사업자용 지능망솔루션 및 단문메세지센터) 개발,공급","'자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업'",IT서비스,"기업개요
동사는 1999년 설립되어 국내외 유/무선 통신사업자 및 단말제조사 등에게 지능망, 메세징, 해외 RBT 서비스, 유아교육 스마트러닝을 개발 및 공급하는 것을 주요 사업으로 하고 있음.
동사의 대표적인 연구분야는 가상화, 서비스 기반의 구조, 신규 이동통신 프로토콜임.
또한 유무선 통합 마케팅 솔루션, 통합 뮤직 및 MPOMR, AI통화 연동 솔루션 등의 사업을 영위하고 있음.
출처 : 에프앤가이드","호스팅, AI"
아시아나IDT,"IT 서비스, IT 솔루션","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스,"기업개요
동사는 2003년 2월 모회사인 아시아나항공의 정보통신사업부를 영업 양수. 이후 아시아나아이디티로 사명을 변경 후 현재까지 IT 서비스 사업을 영위하고 있음.
자체 데이터센터를 기반으로 고객사에 안정적이고 효율적인 IT인프라 서비스를 위하여 인프라 컨설팅, 인프라 설계 및 구축, 클라우드 서비스, 데이터센터 통합 운영 및 전산시설 환경 안전진단 서비스 제공.
주요 고객사는 아시아나항공, 에어부산, 에어서울, 인천국제공항공사 등.
출처 : 에프앤가이드","인프라, 클라우드"
데이타솔루션,"EMC스토리지, SPSS, SI",'기계장비 및 관련 물품 도매업',IT서비스,"기업개요
동사를 제외하고 7개의 계열회사가 있으며, 최대주주인 오픈베이스를 제외하고는 모두 비상장기업으로 구성되어 있음.
데이터사업은 분석 소프트웨어의 개발과 판매, 분석 컨설팅, 빅데이터와 AI 시스템 구축 사업과 및 교육사업으로 구성됨.
현재 동사는 SPSS 프로그램을 바탕으로 통계분석 S/W 교육연구 시장에서 타 경쟁업체 대비 국내 가장 높은 점유율을 차지하고 있음.
출처 : 에프앤가이드","프로그램, 분석, AI"
이씨에스,"컨택센터용교환시스템,업무용교환시스템","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스,"기업개요
Enterprise Communication Solutions사업의 오랜 경험을 기반으로 고객성공 영역과 디지털워크플레이스 영역을 주사업으로 하고 있음.
고객성공 영역은 기존의 컨택센터 인프라, 고객경험, 상담사 경험, ROI, 관리, 세일즈/마케팅, 자동화, 컴플라이언스 부문으로 구성됨.
디지털워크플레이스 영역은 Digital Work와 영상회의 부문으로 구성되며 재택 및 원격 근무, 협업 지원, 원격 교육 등의 사업을 영위함.
출처 : 에프앤가이드",인프라
정원엔시스,"SI(시스템통합) 관련 소프트웨어, 중.대형 고속 레이져 프린터",'기계장비 및 관련 물품 도매업',IT서비스,"기업개요
동사는 기업용 전산시스템의 구축 및 통합을 위한 솔루션서비스를 제공하고 전산장비를 공급하는 IT전문기업임.
주된 취급품목은 서버, 스토리지, 컴퓨터 등 전산장비이며, 현재 한국 HP등의 국내 총판사업을 영위하고 있음.
현재 SI산업은 국가의 정보화 확산을 위한 견인 역할을 함과 동시에 산업 전반의 효율성 및 경쟁력을 제고시키고, 고급 기술 인력 육성을 주도하는 전략적 국가기간 산업으로서 중점 육성되고 있음.
출처 : 에프앤가이드",서버
디모아,"h/w,s/w개발",'기타 전문 도매업',IT서비스,"기업개요
동사와 연결회사는 한국마이크로스프트 유한회사의 상업,교육,공공,클라우드용 총판, ADOBE의 교육용과 상업용 총판, (주)안랩의 상업용총판, Unity, PTC 총판으로 소프트웨어 판매와 기술지원을 영위.
Poly의 총판으로서 UC, CC제품 등 하드웨어를 판매하고 있으 그 외에 Zoom, Tableau 소프트웨어를 유통 판매.
또한, 소프트웨어 판매 회사인 종속회사 디모아를 2022년 3월 중에 흡수합병함.
출처 : 에프앤가이드",클라우드
리노스,"TRS통신, Kipling Bag외","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스,"기업개요
동사는 1991년 설립되었으며, SI, IT 솔루션, 무선통신, IT서비스 등의 IT사업부문과 키플링, 이스트팩 패션브랜드의 F&C사업부문을 주요사업으로 영위하고 있음.
IT 사업 부문은 경찰, 소방 등 정부공공기관이 주요 고객임. 인천국제공항 무선통신시스템, 경찰 무선통신시스템 등을 구축함.
패션, 생활용품 업체 비케이이노베이션을 연결대상 종속회사로 보유함.
출처 : 에프앤가이드","네트워크, 인프라"
케이씨에스,컴퓨터시스템 통합 구축 및 철도 도로 교통인프라,"'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스,"기업개요
동사는 한국컴퓨터지주에서 물적분할을 통해 설립돼 2007년 계열사인 한컴기술연구소를 합병함.
동사는 무장애, 무정지형 시스템과 솔루션으로 금융, 통신, 공공 부문에 차별화 된 서비스를 제공해옴.
동사는 크게 NonStop SI, Enterprise Solution, 교통인프라, KIOSK 단말 사업 등 4개의 사업을 영위하며 NonStop SI 사업부분은 수익창출에 기여하고 있음.
출처 : 에프앤가이드","인프라, 금융"
